add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,execution_time (s),Remaining_noise_budget
3,2,0,0,0,3,4,1,0.644,327
10,4,0,0,0,5,5,1,1.187,327
5,0,0,0,0,10,4,2,1.782,295
19,5,0,0,0,3,7,1,1.101,327
2,1,0,0,0,2,3,1,0.432,328
2,1,0,0,0,3,4,2,0.596,296
1,1,0,0,0,2,3,1,0.407,328
17,0,0,0,0,14,5,3,2.709,263
2,3,0,0,0,2,3,1,0.480,328
3,0,0,0,0,4,3,2,0.759,295
25,11,0,0,0,11,7,2,2.674,295
16,8,0,0,0,11,6,2,2.400,295
3,5,0,0,0,3,5,1,0.717,327
3,3,0,0,0,2,4,1,0.504,328
8,4,0,0,0,5,6,2,1.138,295
3,1,0,0,0,3,4,2,0.620,296
10,4,0,0,0,2,6,1,0.697,327
5,0,0,0,0,3,4,2,0.642,296
2,0,0,0,0,2,3,2,0.408,296
6,0,0,0,0,9,4,2,1.645,295
5,0,0,0,0,2,3,1,0.482,328
1,2,0,0,0,1,3,1,0.268,328
2,1,0,0,0,2,3,1,0.432,328
3,2,0,0,0,2,3,1,0.481,328
4,3,0,0,0,2,4,1,0.531,328
4,2,0,0,0,4,4,2,0.834,296
2,0,0,0,0,3,3,2,0.573,296
3,2,0,0,0,2,4,1,0.481,328
2,2,0,0,0,2,3,1,0.458,328
18,9,0,0,0,9,8,2,2.131,296
5,0,0,0,0,2,3,1,0.482,327
11,10,0,0,0,10,5,2,2.153,295
2,0,0,0,0,5,3,2,0.899,295
3,0,0,0,0,3,4,2,0.597,296
3,1,0,0,0,2,3,1,0.457,328
2,2,0,0,0,2,3,1,0.457,328
1,2,0,0,0,2,3,1,0.432,328
2,2,0,0,0,2,5,1,0.457,328
4,0,0,0,0,3,3,2,0.619,296
2,3,0,0,0,2,3,1,0.482,328
4,2,0,0,0,3,5,1,0.667,327
4,0,0,0,0,3,3,1,0.621,327
2,4,0,0,0,2,4,1,0.504,328
11,0,0,0,0,4,5,2,0.952,296
3,2,0,0,0,2,3,1,0.482,327
7,0,0,0,0,8,4,3,1.506,263
5,3,0,0,0,3,4,1,0.718,327
4,3,0,0,0,2,4,1,0.530,328
5,4,0,0,0,4,6,2,0.904,296
4,3,0,0,0,4,4,2,0.859,296
5,4,0,0,0,4,4,1,0.902,327
3,2,0,0,0,3,4,2,0.643,296
4,3,0,0,0,3,4,1,0.694,327
2,1,0,0,0,2,3,1,0.432,328
4,0,0,0,0,3,3,2,0.622,296
8,6,0,0,0,9,7,3,1.827,264
7,5,0,0,0,5,6,2,1.141,296
13,7,0,0,0,4,7,1,1.163,327
2,2,0,0,0,3,4,2,0.621,296
2,3,0,0,0,3,4,2,0.643,296
1,2,0,0,0,2,3,1,0.432,328
6,3,0,0,0,3,5,1,0.743,328
2,3,0,0,0,2,3,1,0.482,328
1,2,0,0,0,2,3,1,0.433,328
0,0,0,0,0,1,1,1,0.195,328
9,0,0,0,0,6,4,2,1.231,295
1,1,0,0,0,3,3,1,0.573,328
2,2,0,0,0,3,4,2,0.621,296
24,8,0,0,0,9,7,2,2.247,296
3,0,0,0,0,4,3,2,0.759,295
2,1,0,0,0,2,3,1,0.432,328
10,6,0,0,0,8,7,2,1.721,295
2,3,0,0,0,4,4,2,0.807,295
1,1,0,0,0,2,3,1,0.407,328
1,2,0,0,0,1,3,1,0.268,328
4,0,0,0,0,3,3,2,0.621,296
15,6,0,0,0,6,6,2,1.504,296
6,5,0,0,0,4,4,1,0.951,327
3,2,0,0,0,2,3,1,0.482,327
7,0,0,0,0,4,4,2,0.858,295
19,9,0,0,0,5,7,1,1.507,327
13,0,0,0,0,10,6,3,1.969,263
2,2,0,0,0,2,3,1,0.458,328
6,4,0,0,0,5,4,2,1.091,296
4,3,0,0,0,4,8,3,0.858,264
1,0,0,0,0,2,2,1,0.336,327
5,4,0,0,0,4,7,2,0.904,295
3,3,0,0,0,2,4,1,0.505,328
1,1,0,0,0,2,3,2,0.408,296
19,7,0,0,0,7,7,2,1.779,296
5,0,0,0,0,6,4,2,1.137,295
2,2,0,0,0,2,3,1,0.457,328
5,5,0,0,0,5,5,2,1.092,296
5,0,0,0,0,4,4,2,0.807,296
21,9,0,0,0,7,7,2,1.877,296
3,2,0,0,0,2,3,1,0.481,328
2,2,0,0,0,2,3,1,0.457,328
3,2,0,0,0,2,3,1,0.482,328
11,3,0,0,0,8,5,1,1.667,327
4,1,0,0,0,2,3,1,0.481,328
3,0,0,0,0,4,3,1,0.759,327
3,3,0,0,0,2,4,2,0.504,296
2,3,0,0,0,2,3,1,0.481,328
2,2,0,0,0,1,3,1,0.292,328
7,4,0,0,0,8,6,2,1.603,296
20,9,0,0,0,9,7,2,2.185,296
5,4,0,0,0,4,4,1,0.902,327
6,4,0,0,0,5,4,2,1.089,296
3,3,0,0,0,3,4,1,0.668,327
11,10,0,0,0,10,5,2,2.158,295
1,2,0,0,0,2,4,2,0.432,296
16,9,0,0,0,8,7,2,1.919,296
4,3,0,0,0,4,4,1,0.859,327
4,0,0,0,0,3,3,2,0.621,296
3,0,0,0,0,4,3,2,0.760,296
6,4,0,0,0,5,4,2,1.091,295
14,6,0,0,0,6,8,2,1.497,296
10,0,0,0,0,5,4,2,1.090,295
5,0,0,0,0,6,4,2,1.137,295
11,10,0,0,0,10,5,2,2.152,295
5,5,0,0,0,5,4,2,1.090,296
4,4,0,0,0,5,4,2,1.041,295
10,8,0,0,0,8,6,2,1.767,296
15,0,0,0,0,16,5,3,2.982,262
2,0,0,0,0,1,3,1,0.245,328
4,0,0,0,0,4,4,2,0.783,295
16,5,0,0,0,6,8,2,1.504,296
12,6,0,0,0,7,6,2,1.614,296
15,4,0,0,0,7,8,1,1.623,327
1,0,0,0,0,2,2,1,0.385,328
2,1,0,0,0,1,3,1,0.268,328
1,1,0,0,0,3,3,1,0.526,327
4,3,0,0,0,2,4,1,0.531,328
21,6,0,0,0,7,7,2,1.807,296
1,1,0,0,0,2,3,2,0.408,296
4,2,0,0,0,3,4,2,0.669,296
15,0,0,0,0,4,6,2,1.048,296
5,4,0,0,0,5,6,2,1.066,295
27,0,0,0,0,16,6,3,3.279,263
4,2,0,0,0,1,3,1,0.342,328
2,2,0,0,0,1,3,1,0.293,328
4,2,0,0,0,2,4,2,0.505,296
21,0,0,0,0,10,5,2,2.148,294
3,2,0,0,0,2,3,1,0.481,328
4,0,0,0,0,3,4,2,0.621,296
3,2,0,0,0,2,3,1,0.481,328
2,1,0,0,0,2,3,1,0.432,328
24,8,0,0,0,9,10,2,2.243,295
2,2,0,0,0,2,4,1,0.457,328
2,3,0,0,0,2,3,1,0.482,328
3,1,0,0,0,3,3,1,0.621,327
4,0,0,0,0,4,4,2,0.783,296
6,5,0,0,0,4,4,1,0.952,327
1,1,0,0,0,1,3,1,0.245,328
16,5,0,0,0,5,6,1,1.342,327
3,0,0,0,0,2,3,1,0.433,328
9,0,0,0,0,14,5,4,2.532,230
21,9,0,0,0,5,7,1,1.569,326
